1)tuId,2)tuName,5)tuGenes
RDBECOLITUC00308,modEF,modE;modF;
RDBECOLITUC00309,acrZ,acrZ;
RDBECOLITUC00310,ybhH,ybhH;
RDBECOLITUC00311,ybhI,ybhI;
RDBECOLITUC00312,ybhJ,ybhJ;
RDBECOLITUC00313,ybhC,ybhC;
RDBECOLITUC00314,ybhB,ybhB;
RDBECOLITUC00315,ybhL,ybhL;
RDBECOLITUC00316,ybhM,ybhM;
RDBECOLITUC00317,ybhP-clsB-ybhN,ybhP;clsB;ybhN;
RDBECOLITUC00318,cecR-ybhGFSR,cecR;ybhG;ybhF;ybhS;ybhR;
RDBECOLITUC00319,hcxB,hcxB;
RDBECOLITUC00320,ybiJ,ybiJ;
RDBECOLITUC00321,ybiI,ybiI;
RDBECOLITUC00322,ybiX,ybiX;
RDBECOLITUC00323,mcbA,mcbA;
RDBECOLITUC00324,ybiO,ybiO;
RDBECOLITUC00325,rhtA,rhtA;
RDBECOLITUC00326,mntR-ybiR,ybiR;mntR;
RDBECOLITUC00327,ybiU,ybiU;
RDBECOLITUC00328,ybiV,ybiV;
RDBECOLITUC00329,ybiYW,ybiY;ybiW;
RDBECOLITUC00330,iaaA-gsiABCD,gsiD;gsiC;gsiB;gsiA;iaaA;
RDBECOLITUC00331,pdeI-dgcI,dgcI;pdeI;
RDBECOLITUC00332,bssR,bssR;
RDBECOLITUC00333,yliI,yliI;
RDBECOLITUC00334,deoR,deoR;
RDBECOLITUC00336,ybjJI,ybjJ;ybjI;
RDBECOLITUC00337,rybB,rybB;
RDBECOLITUC00338,ybjL,ybjL;
RDBECOLITUC00339,ybjO-rlmC,rlmC;ybjO;
RDBECOLITUC00340,ybjQ-amiD,amiD;ybjQ;
RDBECOLITUC00341,ybjS,ybjS;
RDBECOLITUC00342,poxB-ltaE-ybjT,poxB;ltaE;ybjT;
RDBECOLITUC00343,lysO,lysO;
RDBECOLITUC00344,aat,aat;
RDBECOLITUC00345,trxB,trxB;
RDBECOLITUC00346,lolA-rarA,rarA;lolA;
RDBECOLITUC00347,serS,serS;
RDBECOLITUC00348,ycaD,ycaD;
RDBECOLITUC00349,ycaM,ycaM;
RDBECOLITUC00350,pflA,pflA;
RDBECOLITUC00351,ycaO,ycaO;
RDBECOLITUC00352,ycaP,ycaP;
RDBECOLITUC00353,ycaL,ycaL;
RDBECOLITUC00354,ycaI-msbA-lpxK-ycaQ,ycaQ;lpxK;msbA;ycaI;
RDBECOLITUC00355,ycaR-kdsB,kdsB;ycaR;
RDBECOLITUC00356,ycbJ,ycbJ;
RDBECOLITUC00357,ldtD,ldtD;
